date,durable_expenditure,nondurable_expenditure,food_expenditure,income_expenditure,healthcare_expenditure,services_expenditure
2007-01-01,969.9,2435,871.8,11995.9,1736.72,25900
2007-04-01,980.1,2429.9,867.3,12055.3,1745.909,25913
2007-07-01,992.1,2437.5,868.1,12075.6,1762.547,26024
2007-10-01,999.5,2435.5,871.6,12090.3,1770.735,26088
2008-01-01,967.2,2416.6,866.9,12141.6,1788.975,26202
2008-04-01,960.3,2420.4,864.7,12391.2,1793.987,26273
2008-07-01,927.9,2385.1,850.4,12152.8,1800.011,26186
2008-10-01,859.6,2362.3,838.3,12291.7,1804.937,26167
2009-01-01,861.1,2361.4,841.4,12282,1817.906,26012
2009-04-01,854.9,2347.3,846.7,12364.4,1838.011,25848
2009-07-01,896.4,2354.7,851.9,12214.7,1849.307,25830
2009-10-01,875.3,2362.3,857,12232.6,1840.443,25795
2010-01-01,886,2374.8,862.8,12306,1838.143,25872
2010-04-01,913.9,2387.9,858.8,12510.6,1854.434,25998
2010-07-01,928.2,2396.8,860,12578.5,1881.324,26123
2010-10-01,954.2,2414.6,866.3,12626.1,1884.209,26130
2011-01-01,962.6,2422.7,866.6,12753.1,1890.84,26167
2011-04-01,955.8,2417.5,864.8,12727.8,1892.152,26206
2011-07-01,964.2,2409.3,861.5,12795.7,1885.927,26264
2011-10-01,987.4,2408.7,860.3,12824.4,1903.513,26185
2012-01-01,1011.5,2426.3,866,13021.2,1929.808,26257
2012-04-01,1013.4,2423.6,871,13108.7,1923.667,26281
2012-07-01,1026.6,2424.8,872,13004.8,1923.896,26249
2012-10-01,1049.8,2424.8,874,13366.8,1933.068,26260
2013-01-01,1076.2,2461.5,879.6,12837.2,1924.413,26237
2013-04-01,1081.5,2463.7,880.4,12934.4,1941.554,26277
2013-07-01,1091.3,2482.7,889.8,12979.6,1947.776,26276
2013-10-01,1102.5,2506.7,898.3,12997.5,1968.746,26437
2014-01-01,1121,2514.7,904.8,13149.1,1954.171,26434
2014-04-01,1162.8,2540.3,906.5,13314.5,1990.08,26522
2014-07-01,1183,2561.8,911.9,13439.7,2026.13,26708
2014-10-01,1205.9,2592.4,917.9,13631.4,2062.272,26921
2015-01-01,1228.9,2618.2,925.1,13819,2086.633,27013
2015-04-01,1253.7,2634,929.2,13860.6,2102.503,27102
2015-07-01,1270.1,2661.6,934.2,13937.9,2133.263,27179
2015-10-01,1278.3,2671.7,937,14016.8,2134.215,27225
2016-01-01,1295.3,2696.6,948,14130.6,2172.034,27341
2016-04-01,1306.3,2720.4,965.7,14102.2,2202.643,27381
2016-07-01,1339.7,2729,973.7,14182,2192.203,27468
2016-10-01,1360.8,2733.6,985.9,14274.2,2218.504,27540
2017-01-01,1371.7,2759.5,996.3,14422.3,2236.258,27693
2017-04-01,1389.2,2785.8,1004.2,14579.6,2227.114,27715
2017-07-01,1424.9,2801.8,1013.9,14681.5,2253.418,27781
2017-10-01,1477.8,2838.1,1027.4,14772.5,2264.434,27908
2018-01-01,1496.9,2858.9,1037.9,14927.5,2283.591,28051
2018-04-01,1505.6,2860.7,1036.5,15061.4,2294.406,28204
2018-07-01,1516.4,2870,1037.1,15220.3,2322.059,28290
2018-10-01,1518.9,2889.7,1044.5,15365.3,2307.172,28311
2019-01-01,1507,2910.9,1046.7,15541.4,2348.733,28301
2019-04-01,1545.2,2946.1,1062.5,15530.1,2374.871,28385
2019-07-01,1580.5,2975.2,1078.6,15637,2392,28578
2019-10-01,1602.9,2974.8,1074.9,15727,2411.89,28741
2020-01-01,1531.7,3019,1140.5,15822.3,2321.23,28092
2020-04-01,1530.9,2919.8,1135,17386.6,1956.512,24841
2020-07-01,1822.1,3122.8,1145.7,16775.6,2252.494,26769
2020-10-01,1847.5,3136.6,1141.7,16445.4,2331.993,27200
2021-01-01,1966.7,3212.9,1176.9,18378.3,2327.201,27544
2021-04-01,2033.7,3325.9,1195.1,16957.3,2398.827,28388
2021-07-01,1904.3,3335,1194.3,16730.7,2435.54,28996
2021-10-01,1954.9,3356.3,1195.8,16488.6,2459.33,29200
2022-01-01,1962.3,3333.4,1185.9,16067.2,2454.946,29229
