date,series_id,value,realtime_start,realtime_end
2000-01-01,PCEDGC96,NA,2024-03-13,2024-03-13
2000-04-01,PCEDGC96,NA,2024-03-13,2024-03-13
2000-07-01,PCEDGC96,NA,2024-03-13,2024-03-13
2000-10-01,PCEDGC96,NA,2024-03-13,2024-03-13
2001-01-01,PCEDGC96,NA,2024-03-13,2024-03-13
2001-04-01,PCEDGC96,NA,2024-03-13,2024-03-13
2001-07-01,PCEDGC96,NA,2024-03-13,2024-03-13
2001-10-01,PCEDGC96,NA,2024-03-13,2024-03-13
2002-01-01,PCEDGC96,NA,2024-03-13,2024-03-13
2002-04-01,PCEDGC96,NA,2024-03-13,2024-03-13
2002-07-01,PCEDGC96,NA,2024-03-13,2024-03-13
2002-10-01,PCEDGC96,NA,2024-03-13,2024-03-13
2003-01-01,PCEDGC96,NA,2024-03-13,2024-03-13
2003-04-01,PCEDGC96,NA,2024-03-13,2024-03-13
2003-07-01,PCEDGC96,NA,2024-03-13,2024-03-13
2003-10-01,PCEDGC96,NA,2024-03-13,2024-03-13
2004-01-01,PCEDGC96,NA,2024-03-13,2024-03-13
2004-04-01,PCEDGC96,NA,2024-03-13,2024-03-13
2004-07-01,PCEDGC96,NA,2024-03-13,2024-03-13
2004-10-01,PCEDGC96,NA,2024-03-13,2024-03-13
2005-01-01,PCEDGC96,NA,2024-03-13,2024-03-13
2005-04-01,PCEDGC96,NA,2024-03-13,2024-03-13
2005-07-01,PCEDGC96,NA,2024-03-13,2024-03-13
2005-10-01,PCEDGC96,NA,2024-03-13,2024-03-13
2006-01-01,PCEDGC96,NA,2024-03-13,2024-03-13
2006-04-01,PCEDGC96,NA,2024-03-13,2024-03-13
2006-07-01,PCEDGC96,NA,2024-03-13,2024-03-13
2006-10-01,PCEDGC96,NA,2024-03-13,2024-03-13
2007-01-01,PCEDGC96,969.9,2024-03-13,2024-03-13
2007-04-01,PCEDGC96,980.1,2024-03-13,2024-03-13
2007-07-01,PCEDGC96,992.1,2024-03-13,2024-03-13
2007-10-01,PCEDGC96,999.5,2024-03-13,2024-03-13
2008-01-01,PCEDGC96,967.2,2024-03-13,2024-03-13
2008-04-01,PCEDGC96,960.3,2024-03-13,2024-03-13
2008-07-01,PCEDGC96,927.9,2024-03-13,2024-03-13
2008-10-01,PCEDGC96,859.6,2024-03-13,2024-03-13
2009-01-01,PCEDGC96,861.1,2024-03-13,2024-03-13
2009-04-01,PCEDGC96,854.9,2024-03-13,2024-03-13
2009-07-01,PCEDGC96,896.4,2024-03-13,2024-03-13
2009-10-01,PCEDGC96,875.3,2024-03-13,2024-03-13
2010-01-01,PCEDGC96,886,2024-03-13,2024-03-13
2010-04-01,PCEDGC96,913.9,2024-03-13,2024-03-13
2010-07-01,PCEDGC96,928.2,2024-03-13,2024-03-13
2010-10-01,PCEDGC96,954.2,2024-03-13,2024-03-13
2011-01-01,PCEDGC96,962.6,2024-03-13,2024-03-13
2011-04-01,PCEDGC96,955.8,2024-03-13,2024-03-13
2011-07-01,PCEDGC96,964.2,2024-03-13,2024-03-13
2011-10-01,PCEDGC96,987.4,2024-03-13,2024-03-13
2012-01-01,PCEDGC96,1011.5,2024-03-13,2024-03-13
2012-04-01,PCEDGC96,1013.4,2024-03-13,2024-03-13
2012-07-01,PCEDGC96,1026.6,2024-03-13,2024-03-13
2012-10-01,PCEDGC96,1049.8,2024-03-13,2024-03-13
2013-01-01,PCEDGC96,1076.2,2024-03-13,2024-03-13
2013-04-01,PCEDGC96,1081.5,2024-03-13,2024-03-13
2013-07-01,PCEDGC96,1091.3,2024-03-13,2024-03-13
2013-10-01,PCEDGC96,1102.5,2024-03-13,2024-03-13
2014-01-01,PCEDGC96,1121,2024-03-13,2024-03-13
2014-04-01,PCEDGC96,1162.8,2024-03-13,2024-03-13
2014-07-01,PCEDGC96,1183,2024-03-13,2024-03-13
2014-10-01,PCEDGC96,1205.9,2024-03-13,2024-03-13
2015-01-01,PCEDGC96,1228.9,2024-03-13,2024-03-13
2015-04-01,PCEDGC96,1253.7,2024-03-13,2024-03-13
2015-07-01,PCEDGC96,1270.1,2024-03-13,2024-03-13
2015-10-01,PCEDGC96,1278.3,2024-03-13,2024-03-13
2016-01-01,PCEDGC96,1295.3,2024-03-13,2024-03-13
2016-04-01,PCEDGC96,1306.3,2024-03-13,2024-03-13
2016-07-01,PCEDGC96,1339.7,2024-03-13,2024-03-13
2016-10-01,PCEDGC96,1360.8,2024-03-13,2024-03-13
2017-01-01,PCEDGC96,1371.7,2024-03-13,2024-03-13
2017-04-01,PCEDGC96,1389.2,2024-03-13,2024-03-13
2017-07-01,PCEDGC96,1424.9,2024-03-13,2024-03-13
2017-10-01,PCEDGC96,1477.8,2024-03-13,2024-03-13
2018-01-01,PCEDGC96,1496.9,2024-03-13,2024-03-13
2018-04-01,PCEDGC96,1505.6,2024-03-13,2024-03-13
2018-07-01,PCEDGC96,1516.4,2024-03-13,2024-03-13
2018-10-01,PCEDGC96,1518.9,2024-03-13,2024-03-13
2019-01-01,PCEDGC96,1507,2024-03-13,2024-03-13
2019-04-01,PCEDGC96,1545.2,2024-03-13,2024-03-13
2019-07-01,PCEDGC96,1580.5,2024-03-13,2024-03-13
2019-10-01,PCEDGC96,1602.9,2024-03-13,2024-03-13
2020-01-01,PCEDGC96,1531.7,2024-03-13,2024-03-13
