date,series_id,value,realtime_start,realtime_end
2000-01-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2000-04-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2000-07-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2000-10-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2001-01-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2001-04-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2001-07-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2001-10-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2002-01-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2002-04-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2002-07-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2002-10-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2003-01-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2003-04-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2003-07-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2003-10-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2004-01-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2004-04-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2004-07-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2004-10-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2005-01-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2005-04-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2005-07-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2005-10-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2006-01-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2006-04-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2006-07-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2006-10-01,DFXARX1M020SBEA,NA,2024-03-13,2024-03-13
2007-01-01,DFXARX1M020SBEA,871.8,2024-03-13,2024-03-13
2007-04-01,DFXARX1M020SBEA,867.3,2024-03-13,2024-03-13
2007-07-01,DFXARX1M020SBEA,868.1,2024-03-13,2024-03-13
2007-10-01,DFXARX1M020SBEA,871.6,2024-03-13,2024-03-13
2008-01-01,DFXARX1M020SBEA,866.9,2024-03-13,2024-03-13
2008-04-01,DFXARX1M020SBEA,864.7,2024-03-13,2024-03-13
2008-07-01,DFXARX1M020SBEA,850.4,2024-03-13,2024-03-13
2008-10-01,DFXARX1M020SBEA,838.3,2024-03-13,2024-03-13
2009-01-01,DFXARX1M020SBEA,841.4,2024-03-13,2024-03-13
2009-04-01,DFXARX1M020SBEA,846.7,2024-03-13,2024-03-13
2009-07-01,DFXARX1M020SBEA,851.9,2024-03-13,2024-03-13
2009-10-01,DFXARX1M020SBEA,857,2024-03-13,2024-03-13
2010-01-01,DFXARX1M020SBEA,862.8,2024-03-13,2024-03-13
2010-04-01,DFXARX1M020SBEA,858.8,2024-03-13,2024-03-13
2010-07-01,DFXARX1M020SBEA,860,2024-03-13,2024-03-13
2010-10-01,DFXARX1M020SBEA,866.3,2024-03-13,2024-03-13
2011-01-01,DFXARX1M020SBEA,866.6,2024-03-13,2024-03-13
2011-04-01,DFXARX1M020SBEA,864.8,2024-03-13,2024-03-13
2011-07-01,DFXARX1M020SBEA,861.5,2024-03-13,2024-03-13
2011-10-01,DFXARX1M020SBEA,860.3,2024-03-13,2024-03-13
2012-01-01,DFXARX1M020SBEA,866,2024-03-13,2024-03-13
2012-04-01,DFXARX1M020SBEA,871,2024-03-13,2024-03-13
2012-07-01,DFXARX1M020SBEA,872,2024-03-13,2024-03-13
2012-10-01,DFXARX1M020SBEA,874,2024-03-13,2024-03-13
2013-01-01,DFXARX1M020SBEA,879.6,2024-03-13,2024-03-13
2013-04-01,DFXARX1M020SBEA,880.4,2024-03-13,2024-03-13
2013-07-01,DFXARX1M020SBEA,889.8,2024-03-13,2024-03-13
2013-10-01,DFXARX1M020SBEA,898.3,2024-03-13,2024-03-13
2014-01-01,DFXARX1M020SBEA,904.8,2024-03-13,2024-03-13
2014-04-01,DFXARX1M020SBEA,906.5,2024-03-13,2024-03-13
2014-07-01,DFXARX1M020SBEA,911.9,2024-03-13,2024-03-13
2014-10-01,DFXARX1M020SBEA,917.9,2024-03-13,2024-03-13
2015-01-01,DFXARX1M020SBEA,925.1,2024-03-13,2024-03-13
2015-04-01,DFXARX1M020SBEA,929.2,2024-03-13,2024-03-13
2015-07-01,DFXARX1M020SBEA,934.2,2024-03-13,2024-03-13
2015-10-01,DFXARX1M020SBEA,937,2024-03-13,2024-03-13
2016-01-01,DFXARX1M020SBEA,948,2024-03-13,2024-03-13
2016-04-01,DFXARX1M020SBEA,965.7,2024-03-13,2024-03-13
2016-07-01,DFXARX1M020SBEA,973.7,2024-03-13,2024-03-13
2016-10-01,DFXARX1M020SBEA,985.9,2024-03-13,2024-03-13
2017-01-01,DFXARX1M020SBEA,996.3,2024-03-13,2024-03-13
2017-04-01,DFXARX1M020SBEA,1004.2,2024-03-13,2024-03-13
2017-07-01,DFXARX1M020SBEA,1013.9,2024-03-13,2024-03-13
2017-10-01,DFXARX1M020SBEA,1027.4,2024-03-13,2024-03-13
2018-01-01,DFXARX1M020SBEA,1037.9,2024-03-13,2024-03-13
2018-04-01,DFXARX1M020SBEA,1036.5,2024-03-13,2024-03-13
2018-07-01,DFXARX1M020SBEA,1037.1,2024-03-13,2024-03-13
2018-10-01,DFXARX1M020SBEA,1044.5,2024-03-13,2024-03-13
2019-01-01,DFXARX1M020SBEA,1046.7,2024-03-13,2024-03-13
2019-04-01,DFXARX1M020SBEA,1062.5,2024-03-13,2024-03-13
2019-07-01,DFXARX1M020SBEA,1078.6,2024-03-13,2024-03-13
2019-10-01,DFXARX1M020SBEA,1074.9,2024-03-13,2024-03-13
2020-01-01,DFXARX1M020SBEA,1140.5,2024-03-13,2024-03-13
