date,series_id,value,realtime_start,realtime_end
2000-01-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2000-04-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2000-07-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2000-10-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2001-01-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2001-04-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2001-07-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2001-10-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2002-01-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2002-04-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2002-07-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2002-10-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2003-01-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2003-04-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2003-07-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2003-10-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2004-01-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2004-04-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2004-07-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2004-10-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2005-01-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2005-04-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2005-07-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2005-10-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2006-01-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2006-04-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2006-07-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2006-10-01,DHLCRX1Q020SBEA,NA,2024-03-13,2024-03-13
2007-01-01,DHLCRX1Q020SBEA,1736.72,2024-03-13,2024-03-13
2007-04-01,DHLCRX1Q020SBEA,1745.909,2024-03-13,2024-03-13
2007-07-01,DHLCRX1Q020SBEA,1762.547,2024-03-13,2024-03-13
2007-10-01,DHLCRX1Q020SBEA,1770.735,2024-03-13,2024-03-13
2008-01-01,DHLCRX1Q020SBEA,1788.975,2024-03-13,2024-03-13
