date,series_id,value,realtime_start,realtime_end
2000-01-01,DSPIC96,9833.9,2024-03-13,2024-03-13
2000-04-01,DSPIC96,9950.2,2024-03-13,2024-03-13
2000-07-01,DSPIC96,10081.5,2024-03-13,2024-03-13
2000-10-01,DSPIC96,10149,2024-03-13,2024-03-13
2001-01-01,DSPIC96,10229.8,2024-03-13,2024-03-13
2001-04-01,DSPIC96,10222,2024-03-13,2024-03-13
2001-07-01,DSPIC96,10455.5,2024-03-13,2024-03-13
2001-10-01,DSPIC96,10282.1,2024-03-13,2024-03-13
2002-01-01,DSPIC96,10528.4,2024-03-13,2024-03-13
2002-04-01,DSPIC96,10613,2024-03-13,2024-03-13
2002-07-01,DSPIC96,10625.9,2024-03-13,2024-03-13
2002-10-01,DSPIC96,10690.9,2024-03-13,2024-03-13
2003-01-01,DSPIC96,10693.6,2024-03-13,2024-03-13
2003-04-01,DSPIC96,10815.1,2024-03-13,2024-03-13
2003-07-01,DSPIC96,10999.5,2024-03-13,2024-03-13
2003-10-01,DSPIC96,11029.3,2024-03-13,2024-03-13
2004-01-01,DSPIC96,11079.3,2024-03-13,2024-03-13
2004-04-01,DSPIC96,11192.7,2024-03-13,2024-03-13
2004-07-01,DSPIC96,11264.9,2024-03-13,2024-03-13
2004-10-01,DSPIC96,11395.9,2024-03-13,2024-03-13
2005-01-01,DSPIC96,11241.4,2024-03-13,2024-03-13
2005-04-01,DSPIC96,11344.1,2024-03-13,2024-03-13
2005-07-01,DSPIC96,11385.9,2024-03-13,2024-03-13
2005-10-01,DSPIC96,11488,2024-03-13,2024-03-13
2006-01-01,DSPIC96,11700.7,2024-03-13,2024-03-13
2006-04-01,DSPIC96,11744.4,2024-03-13,2024-03-13
2006-07-01,DSPIC96,11761.3,2024-03-13,2024-03-13
2006-10-01,DSPIC96,11904.7,2024-03-13,2024-03-13
2007-01-01,DSPIC96,11995.9,2024-03-13,2024-03-13
2007-04-01,DSPIC96,12055.3,2024-03-13,2024-03-13
2007-07-01,DSPIC96,12075.6,2024-03-13,2024-03-13
2007-10-01,DSPIC96,12090.3,2024-03-13,2024-03-13
2008-01-01,DSPIC96,12141.6,2024-03-13,2024-03-13
2008-04-01,DSPIC96,12391.2,2024-03-13,2024-03-13
2008-07-01,DSPIC96,12152.8,2024-03-13,2024-03-13
2008-10-01,DSPIC96,12291.7,2024-03-13,2024-03-13
2009-01-01,DSPIC96,12282,2024-03-13,2024-03-13
2009-04-01,DSPIC96,12364.4,2024-03-13,2024-03-13
2009-07-01,DSPIC96,12214.7,2024-03-13,2024-03-13
2009-10-01,DSPIC96,12232.6,2024-03-13,2024-03-13
2010-01-01,DSPIC96,12306,2024-03-13,2024-03-13
2010-04-01,DSPIC96,12510.6,2024-03-13,2024-03-13
2010-07-01,DSPIC96,12578.5,2024-03-13,2024-03-13
2010-10-01,DSPIC96,12626.1,2024-03-13,2024-03-13
2011-01-01,DSPIC96,12753.1,2024-03-13,2024-03-13
2011-04-01,DSPIC96,12727.8,2024-03-13,2024-03-13
2011-07-01,DSPIC96,12795.7,2024-03-13,2024-03-13
2011-10-01,DSPIC96,12824.4,2024-03-13,2024-03-13
2012-01-01,DSPIC96,13021.2,2024-03-13,2024-03-13
2012-04-01,DSPIC96,13108.7,2024-03-13,2024-03-13
2012-07-01,DSPIC96,13004.8,2024-03-13,2024-03-13
2012-10-01,DSPIC96,13366.8,2024-03-13,2024-03-13
2013-01-01,DSPIC96,12837.2,2024-03-13,2024-03-13
2013-04-01,DSPIC96,12934.4,2024-03-13,2024-03-13
2013-07-01,DSPIC96,12979.6,2024-03-13,2024-03-13
2013-10-01,DSPIC96,12997.5,2024-03-13,2024-03-13
2014-01-01,DSPIC96,13149.1,2024-03-13,2024-03-13
2014-04-01,DSPIC96,13314.5,2024-03-13,2024-03-13
2014-07-01,DSPIC96,13439.7,2024-03-13,2024-03-13
2014-10-01,DSPIC96,13631.4,2024-03-13,2024-03-13
2015-01-01,DSPIC96,13819,2024-03-13,2024-03-13
2015-04-01,DSPIC96,13860.6,2024-03-13,2024-03-13
2015-07-01,DSPIC96,13937.9,2024-03-13,2024-03-13
2015-10-01,DSPIC96,14016.8,2024-03-13,2024-03-13
2016-01-01,DSPIC96,14130.6,2024-03-13,2024-03-13
2016-04-01,DSPIC96,14102.2,2024-03-13,2024-03-13
2016-07-01,DSPIC96,14182,2024-03-13,2024-03-13
2016-10-01,DSPIC96,14274.2,2024-03-13,2024-03-13
2017-01-01,DSPIC96,14422.3,2024-03-13,2024-03-13
2017-04-01,DSPIC96,14579.6,2024-03-13,2024-03-13
2017-07-01,DSPIC96,14681.5,2024-03-13,2024-03-13
2017-10-01,DSPIC96,14772.5,2024-03-13,2024-03-13
2018-01-01,DSPIC96,14927.5,2024-03-13,2024-03-13
2018-04-01,DSPIC96,15061.4,2024-03-13,2024-03-13
2018-07-01,DSPIC96,15220.3,2024-03-13,2024-03-13
2018-10-01,DSPIC96,15365.3,2024-03-13,2024-03-13
2019-01-01,DSPIC96,15541.4,2024-03-13,2024-03-13
2019-04-01,DSPIC96,15530.1,2024-03-13,2024-03-13
2019-07-01,DSPIC96,15637,2024-03-13,2024-03-13
2019-10-01,DSPIC96,15727,2024-03-13,2024-03-13
2020-01-01,DSPIC96,15822.3,2024-03-13,2024-03-13
