date,series_id,value,realtime_start,realtime_end
2000-01-01,A797RX0Q048SBEA,23156,2024-03-13,2024-03-13
2000-04-01,A797RX0Q048SBEA,23369,2024-03-13,2024-03-13
2000-07-01,A797RX0Q048SBEA,23517,2024-03-13,2024-03-13
2000-10-01,A797RX0Q048SBEA,23660,2024-03-13,2024-03-13
2001-01-01,A797RX0Q048SBEA,23707,2024-03-13,2024-03-13
2001-04-01,A797RX0Q048SBEA,23690,2024-03-13,2024-03-13
2001-07-01,A797RX0Q048SBEA,23662,2024-03-13,2024-03-13
2001-10-01,A797RX0Q048SBEA,23727,2024-03-13,2024-03-13
2002-01-01,A797RX0Q048SBEA,23781,2024-03-13,2024-03-13
2002-04-01,A797RX0Q048SBEA,23878,2024-03-13,2024-03-13
2002-07-01,A797RX0Q048SBEA,23915,2024-03-13,2024-03-13
2002-10-01,A797RX0Q048SBEA,24009,2024-03-13,2024-03-13
2003-01-01,A797RX0Q048SBEA,24069,2024-03-13,2024-03-13
2003-04-01,A797RX0Q048SBEA,24156,2024-03-13,2024-03-13
2003-07-01,A797RX0Q048SBEA,24256,2024-03-13,2024-03-13
2003-10-01,A797RX0Q048SBEA,24337,2024-03-13,2024-03-13
2004-01-01,A797RX0Q048SBEA,24491,2024-03-13,2024-03-13
2004-04-01,A797RX0Q048SBEA,24598,2024-03-13,2024-03-13
2004-07-01,A797RX0Q048SBEA,24795,2024-03-13,2024-03-13
2004-10-01,A797RX0Q048SBEA,24986,2024-03-13,2024-03-13
2005-01-01,A797RX0Q048SBEA,25074,2024-03-13,2024-03-13
2005-04-01,A797RX0Q048SBEA,25247,2024-03-13,2024-03-13
2005-07-01,A797RX0Q048SBEA,25375,2024-03-13,2024-03-13
2005-10-01,A797RX0Q048SBEA,25412,2024-03-13,2024-03-13
2006-01-01,A797RX0Q048SBEA,25500,2024-03-13,2024-03-13
2006-04-01,A797RX0Q048SBEA,25626,2024-03-13,2024-03-13
2006-07-01,A797RX0Q048SBEA,25691,2024-03-13,2024-03-13
2006-10-01,A797RX0Q048SBEA,25809,2024-03-13,2024-03-13
2007-01-01,A797RX0Q048SBEA,25900,2024-03-13,2024-03-13
2007-04-01,A797RX0Q048SBEA,25913,2024-03-13,2024-03-13
2007-07-01,A797RX0Q048SBEA,26024,2024-03-13,2024-03-13
2007-10-01,A797RX0Q048SBEA,26088,2024-03-13,2024-03-13
2008-01-01,A797RX0Q048SBEA,26202,2024-03-13,2024-03-13
2008-04-01,A797RX0Q048SBEA,26273,2024-03-13,2024-03-13
2008-07-01,A797RX0Q048SBEA,26186,2024-03-13,2024-03-13
2008-10-01,A797RX0Q048SBEA,26167,2024-03-13,2024-03-13
2009-01-01,A797RX0Q048SBEA,26012,2024-03-13,2024-03-13
2009-04-01,A797RX0Q048SBEA,25848,2024-03-13,2024-03-13
2009-07-01,A797RX0Q048SBEA,25830,2024-03-13,2024-03-13
2009-10-01,A797RX0Q048SBEA,25795,2024-03-13,2024-03-13
2010-01-01,A797RX0Q048SBEA,25872,2024-03-13,2024-03-13
2010-04-01,A797RX0Q048SBEA,25998,2024-03-13,2024-03-13
2010-07-01,A797RX0Q048SBEA,26123,2024-03-13,2024-03-13
2010-10-01,A797RX0Q048SBEA,26130,2024-03-13,2024-03-13
2011-01-01,A797RX0Q048SBEA,26167,2024-03-13,2024-03-13
2011-04-01,A797RX0Q048SBEA,26206,2024-03-13,2024-03-13
2011-07-01,A797RX0Q048SBEA,26264,2024-03-13,2024-03-13
2011-10-01,A797RX0Q048SBEA,26185,2024-03-13,2024-03-13
2012-01-01,A797RX0Q048SBEA,26257,2024-03-13,2024-03-13
2012-04-01,A797RX0Q048SBEA,26281,2024-03-13,2024-03-13
2012-07-01,A797RX0Q048SBEA,26249,2024-03-13,2024-03-13
2012-10-01,A797RX0Q048SBEA,26260,2024-03-13,2024-03-13
2013-01-01,A797RX0Q048SBEA,26237,2024-03-13,2024-03-13
2013-04-01,A797RX0Q048SBEA,26277,2024-03-13,2024-03-13
2013-07-01,A797RX0Q048SBEA,26276,2024-03-13,2024-03-13
2013-10-01,A797RX0Q048SBEA,26437,2024-03-13,2024-03-13
2014-01-01,A797RX0Q048SBEA,26434,2024-03-13,2024-03-13
2014-04-01,A797RX0Q048SBEA,26522,2024-03-13,2024-03-13
2014-07-01,A797RX0Q048SBEA,26708,2024-03-13,2024-03-13
2014-10-01,A797RX0Q048SBEA,26921,2024-03-13,2024-03-13
2015-01-01,A797RX0Q048SBEA,27013,2024-03-13,2024-03-13
2015-04-01,A797RX0Q048SBEA,27102,2024-03-13,2024-03-13
2015-07-01,A797RX0Q048SBEA,27179,2024-03-13,2024-03-13
2015-10-01,A797RX0Q048SBEA,27225,2024-03-13,2024-03-13
2016-01-01,A797RX0Q048SBEA,27341,2024-03-13,2024-03-13
2016-04-01,A797RX0Q048SBEA,27381,2024-03-13,2024-03-13
2016-07-01,A797RX0Q048SBEA,27468,2024-03-13,2024-03-13
2016-10-01,A797RX0Q048SBEA,27540,2024-03-13,2024-03-13
2017-01-01,A797RX0Q048SBEA,27693,2024-03-13,2024-03-13
2017-04-01,A797RX0Q048SBEA,27715,2024-03-13,2024-03-13
2017-07-01,A797RX0Q048SBEA,27781,2024-03-13,2024-03-13
2017-10-01,A797RX0Q048SBEA,27908,2024-03-13,2024-03-13
2018-01-01,A797RX0Q048SBEA,28051,2024-03-13,2024-03-13
2018-04-01,A797RX0Q048SBEA,28204,2024-03-13,2024-03-13
2018-07-01,A797RX0Q048SBEA,28290,2024-03-13,2024-03-13
2018-10-01,A797RX0Q048SBEA,28311,2024-03-13,2024-03-13
2019-01-01,A797RX0Q048SBEA,28301,2024-03-13,2024-03-13
2019-04-01,A797RX0Q048SBEA,28385,2024-03-13,2024-03-13
2019-07-01,A797RX0Q048SBEA,28578,2024-03-13,2024-03-13
2019-10-01,A797RX0Q048SBEA,28741,2024-03-13,2024-03-13
2020-01-01,A797RX0Q048SBEA,28092,2024-03-13,2024-03-13
